Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Transportation hub,train,orange,white,,Union Station,,Amtrak train and city/regional bus service,"1 Union Place, Hartford CT 06103",41.7688862,-72.6815433
Higher education,school,darkblue,white,,Capital Community College,,"Website: <a href=""http://www.ccc.commnet.edu/"" target=""_blank"">http://www.ccc.commnet.edu</a>",950 Main St Hartford CT 06103,41.7681484,-72.672398
Higher education,school,darkblue,white,,Charter Oak State College,,"Website: <a href=""http://www.charteroak.edu/"" target=""_blank"">http://www.charteroak.edu</a>","55 Manafort Drive, New Britain CT 06053",41.6882077,-72.7679453
Higher education,school,darkblue,white,,Central Connecticut State University,,"Website: <a href=""http://www.ccsu.edu/"" target=""_blank"">http://www.ccsu.edu</a>","1615 Stanley St, New Britain CT 06050",41.6907573,-72.7709772
Higher education,school,darkblue,white,,Manchester Community College,,"Website: <a href=""http://www.manchestercc.edu/"" target=""_blank"">http://www.manchestercc.edu</a>","Great Path, Manchester CT 06040",41.7622906,-72.5670043
Higher education,school,"rgba(200,100,0,0.5)",white,,University of Connecticut-Hartford,,"Opening Fall 2017. Website: <a href=""http://www.hartford.uconn.edu/"" target=""_blank"">http://www.hartford.uconn.edu</a>","14 Prospect St, Hartford CT 06103",41.762617,-72.6727081
Higher education,school,#775307,white,,University of Hartford,,"Website: <a href=""http://www.hartford.edu/"" target=""_blank"">http://www.hartford.edu</a>","200 Bloomfield Ave, West Hartford CT 06117",41.7984508,-72.7137664
Higher education,school,darkblue,white,,Hartford Seminary,,"Website: <a href=""http://www.hartsem.edu/"" target=""_blank"">http://www.hartsem.edu</a>","77 Sherman St, Hartford CT 06105",41.7698825,-72.7077303
Higher education,school,darkblue,white,,St. Thomas Seminary,,"Website: <a href=""http://www.stseminary.org/"" target=""_blank"">http://www.stseminary.org</a>","467 Bloomfield Ave, Bloomfield CT 06002",41.8069966,-72.7334989
Higher education,school,darkblue,white,,Goodwin College,,"Website: <a href=""http://www.goodwin.edu/"" target=""_blank"">http://www.goodwin.edu</a>","1 Riverside Drive, East Hartford CT 06118",41.7428246,-72.6404704
Higher education,school,darkblue,white,,University of St. Joseph,,"Website: <a href=""http://www.usj.edu/"" target=""_blank"">http://www.usj.edu</a>","1678 Asylum Ave, West Hartford CT 06117",41.780976,-72.7284655
Trinity College,media/custom-trinity-64.png,,,64x64,Trinity College,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Burgesplan.jpg/280px-Burgesplan.jpg,"Website: <a href=""http://www.trincoll.edu"" target=""_blank"">http://www.trincoll.edu</a>","300 Summit St, Hartford CT 06106",41.7473639,-72.6907806
